Title,Price,Category,Condition,Material,Description,URL
Gaming chair For Sell - Executive chair - Visitor Chair - Office Chair,11499.0,Furniture,New,,"Description ------WELCOME TO NIAZ OFFICE FURNITURE------

Upgrade your workspace with our high-quality office chairs! Choose from ergonomic, adjustable, and executive designs for maximum comfort and support. Affordable prices, excellent condition, and available in Karachi, Pakistan. Perfect for offices, home setups, or coworking spaces. Contact now for the best deals!

**Our Top products** 

-> Master Chair 
-> Comfortable Chair 
-> Executive Revolving Chair 
-> Office Chair 
-> Waiting Sofa 
-> Boss Chair 
-> Counter Chair 
-> Stool Chair 
-> Gaming Chiar 
-> Visitor Chair

For More Details contact us on Watsapp or call
---------------",https://www.olx.com.pk/item/gaming-chair-for-sell-executive-chair-visitor-chair-office-chair-iid-1103048589
bedroom set,12000.0,Bed,Used,Others,"Description complete bedroom set 
1 king size bed 
1 sliding almira 
1 sethi 
2 side table and 1 dressing table",https://www.olx.com.pk/item/bedroom-set-iid-1104207012
For sell,10000.0,Furniture,Used,,Description Devider with huge space,https://www.olx.com.pk/item/for-sell-iid-1105436130
Solid Pure wood Dining table,50000.0,Furniture,Used,,"Description 6 chairs set 
Solid Shesham wood dining table",https://www.olx.com.pk/item/solid-pure-wood-dining-table-iid-1105436141
Revolving chair for sale,3000.0,Furniture,Used,,Description Big revolving chair with very cheap price,https://www.olx.com.pk/item/revolving-chair-for-sale-iid-1105436163
Study Table,8000.0,Furniture,Used,,"Description Study Table Used 
Condition is 9 on 10
It's not broken or heavily damaged just need polish if you need new like look",https://www.olx.com.pk/item/study-table-iid-1105436170
SOFA'S,14000.0,Sofa,Used,,Description GREY COLOR 1 LARGE 4 SEATERS AND 2 SOFAS 1 SEATERS IN GOOD CONDITIONS AND MASTER MOLTY FOAM AND SHISH AM WOOD,https://www.olx.com.pk/item/sofas-iid-1105436181
L shap sofa memory foam,90000.0,Furniture,Used,,Description Gray L shap sofa good condition used,https://www.olx.com.pk/item/l-shap-sofa-memory-foam-iid-1105436211
bed double decker iron,23000.0,Bed,Used,Iron,"Description Title:  Double Decker Iron Bunk Bed – 3x6 ft – For Sale

Description:
Strong and durable double decker iron bunk bed in excellent condition. 

Size: 3x6 ft

Solid iron frame with wooden base

Safe and sturdy design

Ideal for hostels, PGs, or home use


 Location: Karachi, Clifton
 Price: Rs. 23,000 (Negotiable)
 Contact:  (View phone number)",https://www.olx.com.pk/item/bed-double-decker-iron-iid-1105436214
Children Furniture For Sale,15000.0,Bed,Used,Iron,"Description 2 Iron single beds without mattress 
1 book shelf iron frame and wooden boxes 
1 side table",https://www.olx.com.pk/item/children-furniture-for-sale-iid-1105436216
chairs,12000.0,Furniture,New,,Description 4 piece wooden chairs,https://www.olx.com.pk/item/chairs-iid-1105436247
5 seater sofa set for sale,25000.0,Sofa,Used,,Description 5 seater sofa set is for sale .,https://www.olx.com.pk/item/5-seater-sofa-set-for-sale-iid-1105436249
2 door almari almirah cupboard,11000.0,Furniture,Used,,Description 2 door almari in used condition is good,https://www.olx.com.pk/item/2-door-almari-almirah-cupboard-iid-1105436292
furniture patex complete bedroom set,50000.0,Bed,Used,Wood,Description complete bedroom set hai use Mai Jo 2 Saal pahla Liya tha chota mota Kam hai Baki sub set hai jis na Bhi Lana ho rabta karay  (View phone number),https://www.olx.com.pk/item/furniture-patex-complete-bedroom-set-iid-1105436299
Double pressed  fiber iron brand new shade for window,7000.0,Furniture,New,,"Description Brand new Double pressed iron fiber shade with beautiful floral print
Size length 3.5 wirth 2.5",https://www.olx.com.pk/item/double-pressed-fiber-iron-brand-new-shade-for-window-iid-1101718411
Bad and Almari,15000.0,Bed,Used,Wood,Description new ha 1 year used ha condition bilkul saf ha reply ap ko call ya Whatsapp pr Mily ga  (Chat with seller),https://www.olx.com.pk/item/bad-and-almari-iid-1105436338
tensile sheds/tensile conopy/fiber sheds/tensile shade/policabnat shed,55000.0,Furniture,New,,"Description Available for delivery and installation across Islamabad & Rawalpindi and surrounding areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made. 

For more details click on my profile
call / sms / inbox and whats app
Contact:
(0/3/3/1/5/1/2/2/2/2/4}",https://www.olx.com.pk/item/tensile-shedstensile-conopyfiber-shedstensile-shadepolicabnat-shed-iid-1103554130
Painting on Canvas.,4000.0,Furniture,New,,"Description Acrylics on canvas size 2 ft x 3ft. 
for wall hangings new painting.",https://www.olx.com.pk/item/painting-on-canvas-iid-1105435732
Furniture Not Used,95000.0,Bed,New,Iron,"Description Bilkul New Hain Sub
Bad With Dressing With Drows",https://www.olx.com.pk/item/furniture-not-used-iid-1105435761
Dining table,25000.0,Furniture,Used,,Description Dining table with 6 chairs in good condition is for sale. Very cheap price.,https://www.olx.com.pk/item/dining-table-iid-1105435764
sofa 7 seater,30000.0,Sofa,Used,,Description 7 seater sofa  neat and clean  only serious buyer contact,https://www.olx.com.pk/item/sofa-7-seater-iid-1104228247
dressing table + 2 side table,8000.0,Furniture,Used,,Description dressing table+ 2 side drawers/tables. made of pure strong wood can be polished again. no sign of termites,https://www.olx.com.pk/item/dressing-table-2-side-table-iid-1105435814
sofa set,35000.0,Sofa,Used,,Description full sofa set without tables,https://www.olx.com.pk/item/sofa-set-iid-1105435855
