title,price,brand,model,condition,type,description,url,processor_tier,processor_brand,processor_generation,ram,storage,storage_type_score,gpu_tier,has_dedicated_gpu,screen_size,is_fullhd,is_4k,is_2k,is_gaming,is_touchscreen,is_2in1,has_ssd,has_hdd,battery_wh,is_new,is_used,condition_score,has_warranty,brand_premium,model_year,has_backlit,processor_score,storage_score,graphics_score,gaming_score,portability_score,features_score,capacity_score,age,age_factor,premium_spec_score
M1 pro 16 gb 512 gb 2021 14 inch Macbook for sale with box etc,29800.0,Apple,MacBook Pro,Used,MacBook,"Description Selling my 14 inch m1 pro 16 gb 512 gb macbook 

Screen size: 14 inches 

Very less used 
Cycles are under 100
Battery health : 90+ 

Never opened 
Never repaired 

No issue at all. 

I will give you check warranty as well.",https://www.olx.com.pk/item/m1-pro-16-gb-512-gb-2021-14-inch-macbook-for-sale-with-box-etc-iid-1102934403,5,3,11,16.0,256.0,0,0,0,14.0,0,0,0,0,0,0,0,0,,0,0,5,0,5,2021.0,0,37.5,5.12,0,14.0,11.0,0,19.186,4.0,0.5488116360940265,280.3
Apple MacBook Pro MacBook Air M1 Chip 2021,11000.0,Apple,MacBook Pro,New,MacBook,"Description My WhatsApp 
O329/7O9O/991__(7)
MacBook Pro 2021
. M4 Chip 
• Apple M1 chip with 16-core Neural Engine
• 14-core GPU
• With Touch ID
• 16gb Memory Ram
• 1TB SSD Storage
• 14-inch (3024 x 1964)
• Backlit Magic Keyboard 
• Battery Health 100%",https://www.olx.com.pk/item/apple-macbook-pro-macbook-air-m1-chip-2021-iid-1105438101,5,3,11,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,5,2021.0,0,37.5,5.12,0,14.0,7.800000000000001,0,19.186,4.0,0.5488116360940265,280.3
Apple MacBook Pro MacBook Air M1 Chip 2021,11000.0,Apple,MacBook Pro,New,MacBook,"Description My WhatsApp 
O329/7O9O/991__(8)
• Apple M1 Pro 10-Core Chip M1
• 16GB |1TB  SSD
• 14.2″ 3456×2234 Liquid Retina XDR Screen
• 16-Core Neural Engine
• Wi-Fi 6 (802.11ax) | Bluetooth 5.0
• Thunderbolt 4 | HDMI | MagSafe 3
• SDXC Slot | FaceTime HD 1080p Camera
• Backlit Magic Keyboard
• Force Touch Trackpad | Touch ID Sensor
1 year warranty",https://www.olx.com.pk/item/apple-macbook-pro-macbook-air-m1-chip-2021-iid-1105438178,5,3,11,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,5,2021.0,0,37.5,5.12,0,14.0,7.800000000000001,0,19.186,4.0,0.5488116360940265,280.3
Dell 3100 4/32 2029 update able 10/10 condition,8499.0,Dell,Others,New,Chromebook,"Description Dell 3100 
4/32 
2029 update able 
10/10 condition 
supported for all schools 
Delivery availble in karachi 
Contact 0/3/1/4/6/5/9/7/8/3/5",https://www.olx.com.pk/item/dell-3100-432-2029-update-able-1010-condition-iid-1105405786,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,10,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,73.67999999999999
laptop Core i7 11th Gen 32Gb Ram ` apple i5 10/10 i3 / Dell laptop,32500.0,Dell,Latitude,New,Laptop,"Description Dell Latitude 15.6"" Laptop - i7 11th Gen | 16GB RAM 256GB SSD Win - Refurbished",https://www.olx.com.pk/item/laptop-core-i7-11th-gen-32gb-ram-apple-i5-1010-i3-dell-laptop-iid-1105438213,4,1,11,32.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,10,0,5,,0,30.5,5.12,0,16.0,7.800000000000001,0,23.486,,,325.3
ThinkPad Lenovo Laptop i7 8thGen / 8gb/480gb / 128mb Intel(R)Graphics,68000.0,Lenovo,ThinkPad,Used,Laptop,"Description ThinkPad Lenovo Laptop i7 8thGen / 8gb/480gb / 128mb Intel(R)Graphics 620
No Open repair 
Good Condition 
with orignal Charger 
builtin Ram",https://www.olx.com.pk/item/thinkpad-lenovo-laptop-i7-8thgen-8gb480gb-128mb-intelrgraphics-iid-1105438216,4,1,8,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0,26.0,5.12,0,12.0,7.800000000000001,0,15.736,,,133.68
HP 650 G1,28000.0,HP,ProBook,Used,Laptop,"Description Laptop
HP 650 G1
Ram 8GB
SSD 500GB
Cori i5 4th Generation 
15.6"" Display with Side Numeric keyboard
No Repair 
Best Display 
Web cam Active 
4-5 Hours battery backup
Condition 10/9
Everything perfect in working 
Good For office use or home use.",https://www.olx.com.pk/item/hp-650-g1-iid-1103051552,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,73.67999999999999
Acer Predator Helios Neo 16 2024 for sell,43000.0,Acer,Others,Used,Laptop,"Description Brand: Acer

Model: Helios Neo 16 (2024)

Graphics: NVIDIA GeForce RTX 4060 8gb vram for powerful gaming performance

Storage: 1TB SSD for ultra-fast speed and ample space

Processor: Latest high-performance Intel Core i9 24 cores

32 GB DDR5 5600MHz RAM

240 hz WQXGA 3ms High-refresh-rate display for smooth visuals

Laptop 2.5 months warranty remaining 

Advanced cooling system for longer gaming sessions

Sleek, durable, and modern gaming laptop design


Only serious buyers to contact and refrain from foolish offers
Price is already market competitive",https://www.olx.com.pk/item/acer-predator-helios-neo-16-2024-for-sell-iid-1104747271,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,2,2024.0,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,1.0,0.8607079764250578,49.12
Dell Latitude 5495 Amd Ryzen 5 2500U 8GB Ram and 256GB SSD 1GB card,47900.0,Dell,Latitude,Used,Laptop,"Description Welcome to Laptops Galaxy Store  !

Prices already Discounted . 
Already Best from our Side. 

Dell 5495
Amd Ryzen 5 2500U
1GB DEdicated Card 
14 inch display 
8GB RAM
256GB Storage
Battery Backup 2-3 hours

With orignal Charger

Here is our shop address sir. 

Shop : Laptops Galaxy LG-36 Rania Mall Basement Bank Road Saddar Rwp.",https://www.olx.com.pk/item/dell-latitude-5495-amd-ryzen-5-2500u-8gb-ram-and-256gb-ssd-1gb-card-iid-1105012046,3,2,0,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0,13.0,25.12,0,8.0,7.800000000000001,0,8.636000000000001,,,70.68
core 2 due laptop,8000.0,Dell,Others,Used,Laptop,"Description All ok hai battry time kam hai
charger sath ha
hard disk apko leni aregi. hard meri lagi a chk karwa k tasalli karwa k dun laptop.",https://www.olx.com.pk/item/core-2-due-laptop-iid-1101819838,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,24.56
