title,price,category,condition,material,description,url,combined_text,furniture_type,is_sofa,is_bed,is_table,is_chair,material_quality,material_type,length,width,height,volume,seating_capacity,is_new,is_used,condition_score,has_brand,is_imported,is_handmade,is_antique,is_modern,with_cushions,has_warranty,size_score,material_score,style_score,completeness_score,quality_score,capacity_score,price_per_volume,type_material_score
Gaming chair For Sell - Executive chair - Visitor Chair - Office Chair,11499.0,Furniture,New,,"Description ------WELCOME TO NIAZ OFFICE FURNITURE------

Upgrade your workspace with our high-quality office chairs! Choose from ergonomic, adjustable, and executive designs for maximum comfort and support. Affordable prices, excellent condition, and available in Karachi, Pakistan. Perfect for offices, home setups, or coworking spaces. Contact now for the best deals!

**Our Top products** 

-> Master Chair 
-> Comfortable Chair 
-> Executive Revolving Chair 
-> Office Chair 
-> Waiting Sofa 
-> Boss Chair 
-> Counter Chair 
-> Stool Chair 
-> Gaming Chiar 
-> Visitor Chair

For More Details contact us on Watsapp or call
---------------",https://www.olx.com.pk/item/gaming-chair-for-sell-executive-chair-visitor-chair-office-chair-iid-1103048589,"Gaming chair For Sell - Executive chair - Visitor Chair - Office Chair Description ------WELCOME TO NIAZ OFFICE FURNITURE------

Upgrade your workspace with our high-quality office chairs! Choose from ergonomic, adjustable, and executive designs for maximum comfort and support. Affordable prices, excellent condition, and available in Karachi, Pakistan. Perfect for offices, home setups, or coworking spaces. Contact now for the best deals!

**Our Top products** 

-> Master Chair 
-> Comfortable Chair 
-> Executive Revolving Chair 
-> Office Chair 
-> Waiting Sofa 
-> Boss Chair 
-> Counter Chair 
-> Stool Chair 
-> Gaming Chiar 
-> Visitor Chair

For More Details contact us on Watsapp or call
---------------",1,1,0,1,1,2,0,26.0,20.0,0.0,0.0,0.0,0,0,9,1,0,0,0,0,0,0,0.0,4,0,2,13,0.0,11499.0,4
bedroom set,12000.0,Bed,Used,Others,"Description complete bedroom set 
1 king size bed 
1 sliding almira 
1 sethi 
2 side table and 1 dressing table",https://www.olx.com.pk/item/bedroom-set-iid-1104207012,"bedroom set Description complete bedroom set 
1 king size bed 
1 sliding almira 
1 sethi 
2 side table and 1 dressing table",2,0,1,1,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,12000.0,8
For sell,10000.0,Furniture,Used,,Description Devider with huge space,https://www.olx.com.pk/item/for-sell-iid-1105436130,For sell Description Devider with huge space,0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,10000.0,0
Solid Pure wood Dining table,50000.0,Furniture,Used,,"Description 6 chairs set 
Solid Shesham wood dining table",https://www.olx.com.pk/item/solid-pure-wood-dining-table-iid-1105436141,"Solid Pure wood Dining table Description 6 chairs set 
Solid Shesham wood dining table",3,0,0,1,1,3,1,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,7,0,0,12,0.0,50000.0,21
Revolving chair for sale,3000.0,Furniture,Used,,Description Big revolving chair with very cheap price,https://www.olx.com.pk/item/revolving-chair-for-sale-iid-1105436163,Revolving chair for sale Description Big revolving chair with very cheap price,4,0,0,0,1,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,3000.0,16
Study Table,8000.0,Furniture,Used,,"Description Study Table Used 
Condition is 9 on 10
It's not broken or heavily damaged just need polish if you need new like look",https://www.olx.com.pk/item/study-table-iid-1105436170,"Study Table Description Study Table Used 
Condition is 9 on 10
It's not broken or heavily damaged just need polish if you need new like look",3,0,0,1,0,2,0,26.0,20.0,0.0,0.0,0.0,1,1,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,8000.0,12
SOFA'S,14000.0,Sofa,Used,,Description GREY COLOR 1 LARGE 4 SEATERS AND 2 SOFAS 1 SEATERS IN GOOD CONDITIONS AND MASTER MOLTY FOAM AND SHISH AM WOOD,https://www.olx.com.pk/item/sofas-iid-1105436181,SOFA'S Description GREY COLOR 1 LARGE 4 SEATERS AND 2 SOFAS 1 SEATERS IN GOOD CONDITIONS AND MASTER MOLTY FOAM AND SHISH AM WOOD,1,1,0,0,0,3,1,26.0,20.0,0.0,0.0,4.0,0,0,7,1,0,0,0,0,0,0,0.0,7,0,2,14,0.0,14000.0,7
L shap sofa memory foam,90000.0,Furniture,Used,,Description Gray L shap sofa good condition used,https://www.olx.com.pk/item/l-shap-sofa-memory-foam-iid-1105436211,L shap sofa memory foam Description Gray L shap sofa good condition used,1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,1,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,90000.0,4
bed double decker iron,23000.0,Bed,Used,Iron,"Description Title:  Double Decker Iron Bunk Bed – 3x6 ft – For Sale

Description:
Strong and durable double decker iron bunk bed in excellent condition. 

Size: 3x6 ft

Solid iron frame with wooden base

Safe and sturdy design

Ideal for hostels, PGs, or home use


 Location: Karachi, Clifton
 Price: Rs. 23,000 (Negotiable)
 Contact:  (View phone number)",https://www.olx.com.pk/item/bed-double-decker-iron-iid-1105436214,"bed double decker iron Description Title:  Double Decker Iron Bunk Bed – 3x6 ft – For Sale

Description:
Strong and durable double decker iron bunk bed in excellent condition. 

Size: 3x6 ft

Solid iron frame with wooden base

Safe and sturdy design

Ideal for hostels, PGs, or home use


 Location: Karachi, Clifton
 Price: Rs. 23,000 (Negotiable)
 Contact:  (View phone number)",2,0,1,0,0,3,1,3.0,6.0,0.0,18.0,0.0,0,0,9,0,0,0,0,0,0,0,2.9444389791664403,7,0,0,16,0.0,1210.5263157894738,14
Children Furniture For Sale,15000.0,Bed,Used,Iron,"Description 2 Iron single beds without mattress 
1 book shelf iron frame and wooden boxes 
1 side table",https://www.olx.com.pk/item/children-furniture-for-sale-iid-1105436216,"Children Furniture For Sale Description 2 Iron single beds without mattress 
1 book shelf iron frame and wooden boxes 
1 side table",2,0,1,1,0,3,1,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,7,0,0,12,0.0,15000.0,14
