Title,Price,Category,Condition,Material,Description,URL
Featured,62000,Bed,Used,Wood,"Bed dressing with storage box | Showcase | Solid wood Furniture Jaranwala, Faisalabad•1 week ago Call Chat",https://www.olx.com.pk/item/bed-dressing-with-storage-box-showcase-solid-wood-furniture-iid-1109342879
Featured,11700,Table,Used,,"Gaming Chairs | Computer Chairs | chair table | Revolving chair Gulistan-e-Jauhar, Karachi•3 weeks ago Call Chat WhatsApp",https://www.olx.com.pk/item/gaming-chairs-computer-chairs-chair-table-revolving-chair-iid-1108823164
Featured,28000,Sofa,New,Wood,"sofa/ wooden sofa/new sofa set/ 5 seater sofa G-11, Islamabad•3 weeks ago Call Chat",https://www.olx.com.pk/item/sofa-wooden-sofanew-sofa-set-5-seater-sofa-iid-1091618752
Featured,1000,Bed,Used,,"king size bed, side tables, home furniture, room furniture DHA Defence, Karachi•3 weeks ago Call Chat",https://www.olx.com.pk/item/king-size-bed-side-tables-home-furniture-room-furniture-iid-1106831662
Featured,12999,Chair,Used,,"Gaming Chair/High Back Chair/Workstation Chair/Office Chair/Revolving Askari 11, Lahore•2 weeks ago Call Chat",https://www.olx.com.pk/item/gaming-chairhigh-back-chairworkstation-chairoffice-chairrevolving-iid-1108960539
Featured,8500,Chair,Used,,"office furniture/Revolving chair/ office chair /high back/ mesh chair G-11, Islamabad•3 weeks ago Call Chat",https://www.olx.com.pk/item/office-furniturerevolving-chair-office-chair-high-back-mesh-chair-iid-1072215117
Delivery,499000,Furniture,Good,,Rs 799 38% Luxury Grade Heavy-Duty Cleaning Brush for Home & Furniture,https://www.olx.com.pk/item/luxury-grade-heavy-duty-cleaning-brush-for-home-furniture-iid-ev493759-1
Delivery,1299,Furniture,Good,,"Rs 1,599 19% High-Quality Microfiber Car Wash Brush | Dust Mop & Cleaning Tool | Vehicle & Home Use",https://www.olx.com.pk/item/high-quality-microfiber-car-wash-brush-dust-mop-cleaning-tool-vehicle-home-use-iid-ev493733-1
Delivery,3999,Furniture,Used,,"Rs 4,999 20% 40-Piece Combination Socket Wrench Tool Kit | Ratchet Wrench Set | Car & Home Repair",https://www.olx.com.pk/item/40-piece-combination-socket-wrench-tool-kit-ratchet-wrench-set-car-home-repair-iid-ev493635-1
Delivery,1499,Furniture,Used,,"Rs 1,999 25% 5 pice cushion covers set",https://www.olx.com.pk/item/5-pice-cushion-covers-set-iid-ev493632-1
