title,price,condition,processor_tier,processor_brand,processor_generation,ram,storage,storage_type_score,gpu_tier,has_dedicated_gpu,screen_size,is_fullhd,is_4k,is_2k,is_gaming,is_touchscreen,is_2in1,has_ssd,has_hdd,battery_wh,is_new,is_used,condition_score,has_warranty,brand_premium,model_year,has_backlit
"HP Laptop HP Elitebook 840 HP Probook HP Zbook Laptop HP Core i3 i5 i7 Johar Town, Lahore•1 week ago Call Chat",24999,Used,4,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell 5190 2 in 1 | Touch screen | x360 rotate chrome book | HD display D Ground, Faisalabad•2 days ago Call Chat",12999,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,1,0,0,,0,0,5,0,3,,0
"Microsoft Surface Pro 6 | core i5 8th gen | 2k | 2 in 1 | detachable D Ground, Faisalabad•2 weeks ago Call Chat",44400,Used,3,1,8,,,0,0,0,15.6,0,0,1,0,0,1,0,0,,0,0,5,0,1,,0
"HP laptop For Sale/ Laptop for Sale/ HP Laptop D Ground, Faisalabad•3 weeks ago Call Chat",30000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell Latitude 5300 Touchscreen Rifah Aam, Karachi•2 days ago Chat",65000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"HP 450 G1 laptop | Core i5 4th gen | 8GB RAM | HP laptop Gulshan-e-Iqbal Town, Karachi•2 weeks ago Call Chat",37000,Used,3,1,4,8.0,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP ProBook 650 G5 i5 8th Gen | 8GB RAM | 256GB SSD | FHD Display Mughalpura, Lahore•3 weeks ago Call Chat",55000,Used,3,1,8,8.0,256.0,2,0,0,15.6,1,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Dell Latitude E5470 |Core i5 6th Gen | 8GB RAM | 256GB SSD Gulshan-e-Iqbal Town, Karachi•3 weeks ago Call Chat",35000,Used,3,1,6,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Microsoft Surface Laptop 3 | 10th Gen i5 | 8GB | 256GB | Model Town, Lahore•6 days ago Call Chat",69999,Used,3,1,10,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Dell Inspiron 5000 series 7567 Gaming Laptop PCSIR Society Phase 2, Lahore•3 days ago Chat",90000,Used,2,0,0,,,0,0,0,15.6,0,0,0,1,0,0,0,0,,0,0,5,0,3,,0
"HP EliteBook 850 G7 i5 10th Gen | 16GB RAM Wapda Town Phase 2, Lahore•3 weeks ago Call Chat",97999,Used,3,1,10,16.0,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell M4800 i7 Workstation – Modified GPU – Plug-in Use Only Khayaban-e-Quaid, Lahore•4 days ago Call Chat",45000,Used,4,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell Latitude 5410 (i5 10th Generation) Others, Gujranwala•1 week ago Call Chat",59000,Used,3,1,10,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
