Title,Price,Brand,Model,Condition,Type,Description,URL
Featured,1000,Dell,,Used,Laptop,"Lenovo Thinkbook 14 Core i7 13th Generation with 1 Year Warranty Mustafa Town, Lahore•2 days ago Call Chat",https://www.olx.com.pk/item/lenovo-thinkbook-14-core-i7-13th-generation-with-1-year-warranty-iid-1109529475
Featured,24999,Dell,,Used,Laptop,"HP Laptop HP Elitebook 840 HP Probook HP Zbook Laptop HP Core i3 i5 i7 Johar Town, Lahore•1 week ago Call Chat",https://www.olx.com.pk/item/hp-laptop-hp-elitebook-840-hp-probook-hp-zbook-laptop-hp-core-i3-i5-i7-iid-1094972799
Featured,12999,Dell,,Used,Laptop,"Dell 5190 2 in 1 | Touch screen | x360 rotate chrome book | HD display D Ground, Faisalabad•2 days ago Call Chat",https://www.olx.com.pk/item/dell-5190-2-in-1-touch-screen-x360-rotate-chrome-book-hd-display-iid-1107572808
Featured,1000,Dell,,Used,Laptop,"HP ZBook G7 – Core i7 10th Gen | 32GB RAM | 512GB SSD | Perfect Condit Sachal Colony, Larkana•4 weeks ago Call Chat",https://www.olx.com.pk/item/hp-zbook-g7-core-i7-10th-gen-32gb-ram-512gb-ssd-perfect-condit-iid-1108813218
Featured,3000,Dell,,New,Laptop,"Brand New Laptop DHA Phase 6, Lahore•1 week ago Call Chat",https://www.olx.com.pk/item/brand-new-laptop-iid-1109206808
Featured,44400,Dell,,Used,Laptop,"Microsoft Surface Pro 6 | core i5 8th gen | 2k | 2 in 1 | detachable D Ground, Faisalabad•2 weeks ago Call Chat",https://www.olx.com.pk/item/microsoft-surface-pro-6-core-i5-8th-gen-2k-2-in-1-detachable-iid-1109051266
Delivery,1130,Dell,,Used,Laptop,"Rs 1,699 33% Interlink Battle G Gaming Headset.",https://www.olx.com.pk/item/interlink-battle-g-gaming-headset-iid-ev491714-1
Delivery,599000,Dell,,Used,Laptop,"Rs 1,000 40% VOOXE 4 in 1 65 W Fast Charging Data Cable Nylon Braided Magnetic A Port To Type C Ilphone-Cable To USB,USB To C Type,USB A To Iphone Cable, Type C to Laptops (Multipurpose)",https://www.olx.com.pk/item/vooxe-4-in-1-65-w-fast-charging-data-cable-nylon-braided-magnetic-a-port-to-type-c-ilphone-cable-to-usb-usb-to-c-type-usb-a-to-iphone-cable-type-c-to-laptops-multipurpose-iid-ev491684-1
Delivery,499000,Dell,,Good,Laptop,"Rs 1,000 50% Pack Of 2 OPPO / VIVO Handsfree Good Quality Sound Handfree / Handsfree/ Earphone /Headphones/ Headset for All Type of Mobiles & Laptops",https://www.olx.com.pk/item/pack-of-2-oppo-vivo-handsfree-good-quality-sound-handfree-handsfree-earphone-headphones-headset-for-all-type-of-mobiles-laptops-iid-ev491670-1
Delivery,18500,Dell,,Used,Laptop,"Rs 29,999 38% Hp G7 WINDOWS RTN_k 4/16",https://www.olx.com.pk/item/hp-g7-windows-rtn_k-4-16-iid-ev491632-1
Delivery,1199,Dell,,Used,Laptop,"Rs 1,500 20% Hp Laptop Bag Premium Quality",https://www.olx.com.pk/item/hp-laptop-bag-premium-quality-iid-ev491535-1
Delivery,199000,Dell,,Used,Laptop,Rs 300 34% Stereo Audio AUX Cable Male-Male 1.5m High Quality,https://www.olx.com.pk/item/stereo-audio-aux-cable-male-male-1-5m-high-quality-iid-ev491531-1
