Title,Price,Description,Condition,Type,Material,URL
Gaming chair For Sell - Executive chair - Visitor Chair - Office Chair,11499,"Description ------WELCOME TO NIAZ OFFICE FURNITURE------

Upgrade your workspace with our high-quality office chairs! Choose from ergonomic, adjustable, and executive designs for maximum comfort and support. Affordable prices, excellent condition, and available in Karachi, Pakistan. Perfect for offices, home setups, or coworking spaces. Contact now for the best deals!

**Our Top products** 

-> Master Chair 
-> Comfortable Chair 
-> Executive Revolving Chair 
-> Office Chair 
-> Waiting Sofa 
-> Boss Chair 
-> Counter Chair 
-> Stool Chair 
-> Gaming Chiar 
-> Visitor Chair

For More Details contact us on Watsapp or call
---------------",New,Others,,https://www.olx.com.pk/item/gaming-chair-for-sell-executive-chair-visitor-chair-office-chair-iid-1103048589
bedroom set,120,"Description complete bedroom set 
1 king size bed 
1 sliding almira 
1 sethi 
2 side table and 1 dressing table",Used,King Bed,Others,https://www.olx.com.pk/item/bedroom-set-iid-1104207012
For sell,10000,Description Devider with huge space,Used,Others,,https://www.olx.com.pk/item/for-sell-iid-1105436130
Solid Pure wood Dining table,50000,"Description 6 chairs set 
Solid Shesham wood dining table",,,,https://www.olx.com.pk/item/solid-pure-wood-dining-table-iid-1105436141
Revolving chair for sale,3000,Description Big revolving chair with very cheap price,Used,Others,,https://www.olx.com.pk/item/revolving-chair-for-sale-iid-1105436163
Study Table,8000,"Description Study Table Used 
Condition is 9 on 10
It's not broken or heavily damaged just need polish if you need new like look",Used,Workstations,,https://www.olx.com.pk/item/study-table-iid-1105436170
SOFA'S,140,Description GREY COLOR 1 LARGE 4 SEATERS AND 2 SOFAS 1 SEATERS IN GOOD CONDITIONS AND MASTER MOLTY FOAM AND SHISH AM WOOD,Used,Sofa Set,,https://www.olx.com.pk/item/sofas-iid-1105436181
L shap sofa memory foam,90000,Description Gray L shap sofa good condition used,Used,L Shaped,,https://www.olx.com.pk/item/l-shap-sofa-memory-foam-iid-1105436211
bed double decker iron,23000,"Description Title:  Double Decker Iron Bunk Bed – 3x6 ft – For Sale

Description:
Strong and durable double decker iron bunk bed in excellent condition. 

Size: 3x6 ft

Solid iron frame with wooden base

Safe and sturdy design

Ideal for hostels, PGs, or home use


 Location: Karachi, Clifton
 Price: Rs. 23,000 (Negotiable)
 Contact:  (View phone number)",Used,Bed Set,Iron,https://www.olx.com.pk/item/bed-double-decker-iron-iid-1105436214
Children Furniture For Sale,15000,"Description 2 Iron single beds without mattress 
1 book shelf iron frame and wooden boxes 
1 side table",Used,Single Bed,Iron,https://www.olx.com.pk/item/children-furniture-for-sale-iid-1105436216
chairs,12000,Description 4 piece wooden chairs,New,Others,,https://www.olx.com.pk/item/chairs-iid-1105436247
5 seater sofa set for sale,25000,Description 5 seater sofa set is for sale .,Used,Sofa Set,,https://www.olx.com.pk/item/5-seater-sofa-set-for-sale-iid-1105436249
2 door almari almirah cupboard,11000,Description 2 door almari in used condition is good,,,,https://www.olx.com.pk/item/2-door-almari-almirah-cupboard-iid-1105436292
furniture patex complete bedroom set,50000,Description complete bedroom set hai use Mai Jo 2 Saal pahla Liya tha chota mota Kam hai Baki sub set hai jis na Bhi Lana ho rabta karay  (View phone number),Used,Bed Set,Wooden,https://www.olx.com.pk/item/furniture-patex-complete-bedroom-set-iid-1105436299
Double pressed  fiber iron brand new shade for window,7000,"Description Brand new Double pressed iron fiber shade with beautiful floral print
Size length 3.5 wirth 2.5",New,,,https://www.olx.com.pk/item/double-pressed-fiber-iron-brand-new-shade-for-window-iid-1101718411
Bad and Almari,15000,Description new ha 1 year used ha condition bilkul saf ha reply ap ko call ya Whatsapp pr Mily ga  (Chat with seller),Used,Bed Set,Wooden,https://www.olx.com.pk/item/bad-and-almari-iid-1105436338
tensile sheds/tensile conopy/fiber sheds/tensile shade/policabnat shed,550,"Description Available for delivery and installation across Islamabad & Rawalpindi and surrounding areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made. 

For more details click on my profile
call / sms / inbox and whats app
Contact:
(0/3/3/1/5/1/2/2/2/2/4}",New,,,https://www.olx.com.pk/item/tensile-shedstensile-conopyfiber-shedstensile-shadepolicabnat-shed-iid-1103554130
Painting on Canvas.,4000,"Description Acrylics on canvas size 2 ft x 3ft. 
for wall hangings new painting.",New,,,https://www.olx.com.pk/item/painting-on-canvas-iid-1105435732
Furniture Not Used,95000,"Description Bilkul New Hain Sub
Bad With Dressing With Drows",New,Bed Set,Iron,https://www.olx.com.pk/item/furniture-not-used-iid-1105435761
Dining table,25000,Description Dining table with 6 chairs in good condition is for sale. Very cheap price.,,,,https://www.olx.com.pk/item/dining-table-iid-1105435764
3d Pvc Wallpaper,50,"Description 3D Wallpaper
اپنے گھر کو سیم سے بچائیں اور پنافلکس والپیپر لگوائیں
اور خوبصورت بنائیں",New,,,https://www.olx.com.pk/item/3d-pvc-wallpaper-iid-1103739019
sofa 7 seater,30000,Description 7 seater sofa  neat and clean  only serious buyer contact,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-7-seater-iid-1104228247
dressing table + 2 side table,8000,Description dressing table+ 2 side drawers/tables. made of pure strong wood can be polished again. no sign of termites,,,,https://www.olx.com.pk/item/dressing-table-2-side-table-iid-1105435814
sofa set,35000,Description full sofa set without tables,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-iid-1105435855
Two seater sofa setty with storage in the back,16000,"Description Two seater sofa setty with storage in the back with two removable mattresses and removable and washable covers 

need to sale urgently",Used,2 Seater,,https://www.olx.com.pk/item/two-seater-sofa-setty-with-storage-in-the-back-iid-1105435858
High-End Table with Metal Frame – Modern & Durable,16000,"Description Upgrade your workspace or home with this premium quality table, featuring a solid engineered wood top paired with a sleek black powder-coated metal frame. Built for durability and modern aesthetics, this table is ideal for both office and home use. 

 Size: Spacious enough for a comfortable workstation
Dimensions: L = 60, W = 32, H = 33 in Inches
 Top Material: Smooth-finish wood with a rich grain texture
 Frame: Heavy-duty metal with geometric design for enhanced stability
 Condition: Like new – used only for display
 Style: Industrial-modern with a minimalistic touch

Perfect for:
 Home office setups
 Study tables
 Creative studio desks
 Minimalist interiors

 Asking Price: PKR 15,000
 Location: Near Lake CIty

 DM or WhatsApp me on Zero Three Four Zero Six Zero Three Six One Zero Two  or call now for more details. Serious buyers only, please.",Used,Workstations,,https://www.olx.com.pk/item/high-end-table-with-metal-frame-modern-durable-iid-1102709883
3 door wardrobe,5000,Description 3 door fix wardrobe  only,Used,Kids Wardrobes,,https://www.olx.com.pk/item/3-door-wardrobe-iid-1103041017
Queen bed,18000,"Description Queen size bed, strong and in good condition. If you are interested then contact  (View phone number)  and  (View phone number)",Used,Queen Bed,Wooden,https://www.olx.com.pk/item/queen-bed-iid-1104582967
theam VIP,35000,Description one hand us VIP wood jhoula for seal,,Wall Stickers and Decals,,https://www.olx.com.pk/item/theam-vip-iid-1105435919
"Double bed with side small tables dressing table, and dining table",25000,Description Double bed side tables dressing table and swinging dining table with 4 chairs used old furniture,Used,Bed Set,Wooden,https://www.olx.com.pk/item/double-bed-with-side-small-tables-dressing-table-and-dining-table-iid-1105435925
1- Seater Sofa,80000,"Description 1-Seater Sofas – Good Condition

Selling 2 comfortable and stylish 1-seater sofas. Soft cushions, tufted backrest, and strong wooden legs. Perfect for living room, bedroom, or office. 

Condition: Used, well-maintained

Color: Cream with patterned design

Price: Reasonable & negotiable 

Grab them before they’re gone!",Used,1 Seater,,https://www.olx.com.pk/item/1-seater-sofa-iid-1105435941
Three seater sofa bed setty with two storage compartments,20000,"Description Three seater sofa bed setty with two storage compartments, two removable mattresses and removable, washable covers 

need to sale urgently",Used,,,https://www.olx.com.pk/item/three-seater-sofa-bed-setty-with-two-storage-compartments-iid-1105435957
Restaurant furniture/hotel table/dining table/chairs/Cafe furniture,15000,"Description We have been manufacturing since 2015. Restaurant, sofa, table, furniture in the Gujranwala. 

Key features:

1. 	Consider the concept and theme of the restaurant
2. 	Expert advice on how to adapt the furniture to the restaurant’s concept and theme
3. 	How choosing furniture to match the restaurant’s brand and style can enhance the overall customer experience
4. 	Prioritise comfort and durability
5. 	Look for versatility in furniture design
6. 	Optimise your restaurant space
7. 	Keeping up to date with furniture trends
8. 	Choosing the best materials for your restaurant furniture
9. 	Consider the budget
10. 	Pay attention to details
11. 	Final thoughts on the importance of selecting the best restaurant furniture
contact us
0/3/3/3/8/1/9/5/2/0/3",New,,,https://www.olx.com.pk/item/restaurant-furniturehotel-tabledining-tablechairscafe-furniture-iid-1004415083
Medicated Double Single spring mattress for sale / free home delivery,7500,"Description We have all sizes mattressess available on very good rate

4 Inch single matress 8000
5 inch single matress 10000

We deal in 
=/ SIngle mattress
=/ Double mattress
=/ Spring Mattress
=/ Sofa gadi 
=/ Goal pilo
=/ pilo 

Shop location : Shop number 101, mandi stop main multan Road Lahore 
Contact us :03/20 - 6/53/48/77

Free home delivery in all over Lahore",New,Single Bed,Medicated,https://www.olx.com.pk/item/medicated-double-single-spring-mattress-for-sale-free-home-delivery-iid-1102799170
Jaguard L shaped sofa,50000,"Description L shaped sofa in very good condition. 

contact for any more details. pictures of sofa are orignal and uploaded
contact:  (View phone number)",Used,L Shaped,,https://www.olx.com.pk/item/jaguard-l-shaped-sofa-iid-1105435419
Bed set with two side tables and dressing table,65000,"Description 8/10 
Without mattress
Two side tables
Dressing table",Used,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-with-two-side-tables-and-dressing-table-iid-1105435434
Five Seater Sofa for Sale. 03009569508,22000,"Description One 3 Seater 
2 single Seater",Used,Sofa Set,,https://www.olx.com.pk/item/five-seater-sofa-for-sale-03009569508-iid-1104161347
office chair,5000,Description Very good condition.,Used,Others,,https://www.olx.com.pk/item/office-chair-iid-1105435486
8 seater dinning table,150,"Description 8 seater dinning table 
pure wood",,,,https://www.olx.com.pk/item/8-seater-dinning-table-iid-1105435512
ALLAH DAKH RAHA HAI JO B BAAT HO GI HAQ SUCH HOGI,550,Description jahaiz ka saman hai compleat shokas . bad with said table safe almari lakri wali darassan table room sofa with sofa set other iron stand with all itam microwave automatic machine salie machine chine k bartan set patiya Yani pura saman hai munasab qeemat py mil jayga what's up per rabta kary ay AUR saman dakhy baat kary AUR ly jay,Used,Others,,https://www.olx.com.pk/item/allah-dakh-raha-hai-jo-b-baat-ho-gi-haq-such-hogi-iid-1105435542
Carpet,7500,"Description good condition 
length 12.5 feet
width 13 feet
Neat and clean",Used,,,https://www.olx.com.pk/item/carpet-iid-1105435568
Sofa cum bed/Double cumbed/LShape/Combed/Double bed/Set/Foam Mattress,19990,"Description * All sofa cumbeds different prices. . . 

* After discount prices 19990 to 28500. . . 

* 15 years warranty with pure solid wooden structure. . . 

* Master Molty foam (Original with warranty card). . . 

* Orignal product Manufacture. . 

* All sofa Cum bed available in (stock ready). . . 

* Available in all colours to match any decor. . 

* Customize dimensions, Design , or Fabric upon request. . . 

* Best quality and finishing. . 

* We never compromise in quality. . . 

* for more details and information please contact us  0304/83/75/75/7

Jazakallah",New,,,https://www.olx.com.pk/item/sofa-cum-beddouble-cumbedlshapecombeddouble-bedsetfoam-mattress-iid-1105435612
Complete Furniture,65000,"Description Bed Mattress Almari Side Tables Singhar maiz

Like New

 (Chat with seller)",Used,Bed Set,Wooden,https://www.olx.com.pk/item/complete-furniture-iid-1105435621
Multicolor LED light  Cash on dilevery all of Pakistan,1200,"Description contact on WhatsApp  (View phone number) 
*Product Name*: Multicolor LED USB Light
*Product Description*: Transform Your Space With This Vibrant 16.4Ft (5M) Rgb Led Light Strip. Perfect For Creating A Colorful Atmosphere For Any Occasion, It Features A Usb Plug For Easy Power And A Remote For Customizable Lighting Options. 
*Product Details*:Material: PVC
Charging Ports: USB
Product Feature: Multicolor
Color: Multicolor
Package Includes: 1 x LED Light Strip, 1 x Remote Control
Length: 500 Cm
Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effect",,,,https://www.olx.com.pk/item/multicolor-led-light-cash-on-dilevery-all-of-pakistan-iid-1105435624
2 Seater Grey Sofa – Good Condition,18000,"Description Selling my 2 seater grey sofa in good condition. Comfortable, simple, and fits well in small spaces. Hardly used and well kept.",Used,2 Seater,,https://www.olx.com.pk/item/2-seater-grey-sofa-good-condition-iid-1105435627
Moon wall lamp,7999,"Description Turn Your Walls into Art

Not just a product. . . a glow you'll feel and stories your walls will tell. 

Bring the glow of the moon into your home.",New,Hanging Lamps,,https://www.olx.com.pk/item/moon-wall-lamp-iid-1105435691
never used showcase for urgent sale,20000,"Description I am selling new showcase. never used due to space issue. made on order with Tali wood. selling price is 20,000/-. it can be used for jahaiz. just need polish. very strong and hard and durable. call on  (View phone number)",,,,https://www.olx.com.pk/item/never-used-showcase-for-urgent-sale-iid-1105435706
Nesting Center Table,22000,"Description Bigh Size Center Table
Condition : New
Size : Large
Dimentions :
Length : 60inh
Width   : 30inh
Height  : 18inh",,,,https://www.olx.com.pk/item/nesting-center-table-iid-1104218447
bed /double bed/king size bed set/bedroom furniture/bridal set/woo,29999,"Description We are manufacturing all types of Furniture on Factory Price. 

With Good Polish and Original Wood
Bed 33k
side table 12k

Also we repaint and polish your old furniture

Solid and beautiful bedroom set available in reasonable price. 

We are manufacturing all types quality furniture. 

Best and no 1 quality material used in all products. 

Graceful and decent design. Best quality and finishing

Solid wood structure and 1st quality material used. 

No compromise in quality of products and polish
Contact for more details",New,Bed Set,Wooden,https://www.olx.com.pk/item/bed-double-bedking-size-bed-setbedroom-furniturebridal-setwoo-iid-1104389412
